epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,227.518,0.34849,0.61112,0.17498,0.30228,0.85229,0.98776,0.76355,0.77833,0.69349,0.66544,0.33333,0.33167,0.29877,0.33146,0.13086,0.12683,0.23763,0.80177,0.000226497,0.000226497,0.000226497
87,230.096,0.35998,0.65815,0.18183,0.30155,0.86011,0.98667,0.76294,0.77833,0.69939,0.66542,0.33333,0.33167,0.29877,0.33441,0.1145,0.12733,0.23737,0.79945,0.000212349,0.000212349,0.000212349
88,232.839,0.34321,0.66032,0.18213,0.30365,0.85642,0.88996,0.76667,0.77,0.68151,0.66544,0.33333,0.33167,0.30521,0.31504,0.11249,0.12825,0.23053,0.79797,0.000198202,0.000198202,0.000198202
89,235.377,0.3278,0.51196,0.1741,0.28694,0.85043,0.88836,0.76667,0.76815,0.67788,0.66542,0.33333,0.33167,0.30534,0.32055,0.10757,0.12911,0.22895,0.8008,0.000184055,0.000184055,0.000184055
90,238.038,0.33022,0.5424,0.17237,0.28319,0.8547,0.88245,0.76667,0.76815,0.69223,0.66544,0.33333,0.33167,0.30592,0.33399,0.10662,0.12987,0.23642,0.80075,0.000169908,0.000169908,0.000169908
91,256.949,0.26012,0.17438,0.13616,0.24292,0.80929,0.88063,0.76667,0.76359,0.68491,0.66544,0.33333,0.33167,0.30573,0.32697,0.10749,0.12678,0.23538,0.79893,0.000155761,0.000155761,0.000155761
92,259.523,0.26935,0.14675,0.13335,0.24419,0.80684,0.95416,0.8,0.80782,0.68476,0.66542,0.33333,0.33167,0.29017,0.31971,0.12548,0.12502,0.23665,0.7999,0.000141614,0.000141614,0.000141614
93,261.983,0.26081,0.14193,0.1341,0.24094,0.80159,0.94302,0.8,0.81015,0.6849,0.66543,0.33333,0.33167,0.2921,0.31693,0.12173,0.12334,0.23685,0.79867,0.000127467,0.000127467,0.000127467
94,264.506,0.25587,0.14015,0.13053,0.23259,0.79875,0.9185,0.8,0.81583,0.6877,0.6654,0.33333,0.33167,0.31431,0.32945,0.11143,0.11954,0.23281,0.799,0.00011332,0.00011332,0.00011332
95,267.22,0.24849,0.12254,0.12639,0.23323,0.79755,0.94119,0.8,0.81583,0.70193,0.6654,0.33333,0.33167,0.31736,0.31018,0.11272,0.11653,0.22943,0.79646,9.91726e-05,9.91726e-05,9.91726e-05
96,269.944,0.2517,0.12639,0.1214,0.23294,0.80472,0.96099,0.8,0.81881,0.70282,0.66541,0.33333,0.33167,0.31497,0.30624,0.09192,0.11519,0.22234,0.79497,8.50255e-05,8.50255e-05,8.50255e-05
97,272.552,0.24241,0.12398,0.12093,0.21856,0.79046,0.98066,0.76644,0.78071,0.69371,0.66541,0.33333,0.33167,0.31556,0.30696,0.08769,0.11369,0.218,0.79446,7.08784e-05,7.08784e-05,7.08784e-05
98,275.053,0.23946,0.09828,0.11774,0.22304,0.78832,0.90453,0.79732,0.78833,0.69576,0.66543,0.33333,0.33167,0.31495,0.30888,0.08805,0.11144,0.21372,0.79403,5.67313e-05,5.67313e-05,5.67313e-05
99,277.609,0.23308,0.11147,0.11878,0.21872,0.80554,0.84895,0.8,0.78833,0.69084,0.66544,0.33333,0.33167,0.316,0.31382,0.08743,0.11097,0.21484,0.79377,4.25842e-05,4.25842e-05,4.25842e-05
100,280.166,0.23736,0.09442,0.11944,0.21898,0.7926,0.9776,0.76667,0.78389,0.69152,0.66543,0.33333,0.33167,0.3201,0.30973,0.08153,0.11135,0.21996,0.79436,2.84371e-05,2.84371e-05,2.84371e-05
